ticker,timestamp,open,high,low,close,volume,amount
ADBE,2019-01-01,226.1593,232.5045,224.2844,230.1742,2765393,636522051.55
ADBE,2019-01-02,229.8303,232.6326,221.3612,224.1844,2821068,632439445.75
ADBE,2019-01-03,223.6214,226.6008,218.0946,221.1303,3701532,818520844.9
ADBE,2019-01-04,220.6876,222.508,214.8561,216.3814,2912829,630282030.69
ADBE,2019-01-07,216.1662,223.8817,213.8235,221.5774,2731606,605262117.49
ADBE,2019-01-08,221.4974,223.7349,212.6089,215.0469,2578745,554551077.52
ADBE,2019-01-09,213.6436,219.1305,210.5858,216.3445,2698742,583857949.13
ADBE,2019-01-10,216.7881,227.1525,212.5658,222.4578,3139573,698422649.6
ADBE,2019-01-11,222.9678,224.3604,221.2179,222.3713,3292146,732078844.28
ADBE,2019-01-14,222.8546,229.2117,220.9231,226.7856,3234859,733619419.93
ADBE,2019-01-15,226.2145,231.4936,222.494,227.7952,3154548,718590745.02
ADBE,2019-01-16,226.2487,227.3643,213.8138,214.8536,2953412,634551343.69
ADBE,2019-01-17,215.5708,218.2431,213.5136,216.3343,3119808,674921517.63
ADBE,2019-01-18,216.5115,222.6585,214.5453,220.1966,2743434,604094783.29
ADBE,2019-01-21,220.948,222.7088,215.8437,217.2662,2804456,609313428.69
ADBE,2019-01-22,217.8679,223.5592,215.0509,220.2619,2829963,623333072.31
ADBE,2019-01-23,220.7478,223.2135,212.4122,214.3008,2975530,637658454.27
ADBE,2019-01-24,214.0711,216.2554,207.9039,210.1215,2190628,460298113.81
ADBE,2019-01-25,209.4696,211.9672,206.4672,208.669,2187557,456475410.7
ADBE,2019-01-28,208.6608,211.0948,200.6755,203.1749,2807287,570370193.17
ADBE,2019-01-29,204.0358,206.7232,199.3228,202.3479,2105202,425983102.44
ADBE,2019-01-30,201.6779,205.2884,199.6717,203.3615,3240009,658893077.22
ADBE,2019-01-31,202.9693,206.0993,197.9167,201.3887,3505714,706011092.21
ADBE,2019-02-01,201.1662,203.7506,196.1698,199.0061,3221094,641017296.9
ADBE,2019-02-04,199.9607,204.7899,195.2919,200.184,2182691,436939738.9
ADBE,2019-02-05,199.6554,208.2408,196.6413,204.9685,3374622,691691295.16
ADBE,2019-02-06,205.0229,207.1667,201.6323,203.4927,3164294,643910785.48
ADBE,2019-02-07,204.1562,207.2682,201.5342,204.3102,3013811,615752464.05
ADBE,2019-02-08,204.3152,210.6273,203.2548,209.589,2930236,614145282.48
ADBE,2019-02-11,209.0536,215.679,207.7187,213.9391,3131991,670055271.37
ADBE,2019-02-12,213.8338,218.1136,211.0271,215.2731,3224248,694093880.14
ADBE,2019-02-13,215.6273,217.993,211.2075,213.7255,3061603,654342523.79
ADBE,2019-02-14,213.4296,216.3683,206.9801,209.453,2539396,531884166.98
ADBE,2019-02-15,209.6441,211.3696,204.9035,206.482,2678509,553064008.42
ADBE,2019-02-18,206.596,208.2553,200.8979,202.179,2311593,467355490.21
ADBE,2019-02-19,201.2666,206.4065,198.3009,202.6536,3001237,608211512.77
ADBE,2019-02-20,202.5718,210.5887,199.8328,207.3845,3425338,710362091.55
ADBE,2019-02-21,206.8398,212.2298,203.4744,208.7825,3210411,670277784.5
ADBE,2019-02-22,208.0651,211.4186,204.8784,207.5795,2700756,560621457.44
ADBE,2019-02-25,207.8155,211.0918,205.0819,207.7815,3182719,661310195.58
ADBE,2019-02-26,207.6369,211.3614,201.4037,204.8553,3502368,717478765.22
ADBE,2019-02-27,204.7878,207.9032,198.1739,201.6954,3932995,793266870.77
ADBE,2019-02-28,202.1063,204.7066,199.7148,202.109,3845263,777162281.95
ADBE,2019-03-01,203.2248,209.6332,201.0715,206.8399,3581476,740792068.85
ADBE,2019-03-04,206.1264,206.9954,199.3213,199.9753,3638249,727560092.88
ADBE,2019-03-05,199.7013,201.8771,196.4049,198.8141,2976255,591721353.48
ADBE,2019-03-06,198.8468,202.9967,195.8088,199.5004,1902912,379631695.63
ADBE,2019-03-07,199.5308,201.7492,193.942,195.9862,2985735,585162862.05
ADBE,2019-03-08,196.3295,202.3136,193.5399,199.189,3237713,644916695.84
ADBE,2019-03-11,199.5208,203.0885,189.4883,193.3564,2818382,544952177.99
ADBE,2019-03-12,193.2231,196.0111,189.185,191.7657,3286883,630311474.26
